old_path,new_path,lossy_truncated,ext_missing
files/_EA_B3_B5_EC_9D_B8_EC_A4_91_EA_B0_9C_EC_82_AC_20_EB_B6_80_EB_8F_99_EC_82_B0_EA_B3_B5_EB_B2_95_20-_202._20_EB_8F_84_EC_8B_9C_EA_B0_9C_EB_B0_9C_EB_B2_95_283_EB_8B_A8_EB_B9_84_EA_B5_9,files/공인중개사 부동산공법 - 2. 도시개발법(3단비%9.pdf,True,True
files/_EC_8B_A4_EB_B2_84_ED_83_80_EC_9A_B4_20_EA_B4_80_EB_A0_A8_20_EB_B2_95_EB_A0_B9.pdf,files/실버타운 관련 법령.pdf,False,False
files/_EC_9B_90_EC_9E_90_EB_A1_9C_EC_8B_9C_EC_84_A4_EC_9D_98_20_EC_95_88_EC_A0_84_EB_93_B1_EA_B8_89_EA_B3_BC_20_EA_B4_80_EA_B3_84_EB_B2_95_EB_A0_B9.pdf,files/원자로시설의 안전등급과 관계법령.pdf,False,False
files/_EC_A7_80_EB_B0_A9_EB_B3_B4_EC_A1_B0_EA_B8_88_20_EA_B4_80_EB_A0_A8_20_EB_B2_95.pdf,files/지방보조금 관련 법.pdf,False,False
files/_EA_B5_AD_ED_86_A0_EC_9D_98_EA_B2_8C_ED_9A_8D_EB_B0_8F_EC_9D_B4_EC_9A_A9_EC_97_90_EA_B4_80_ED_95_9C_EB_B2_95_EB_A5_A0.pdf,files/국토의게획및이용에관한법률.pdf,False,False
files/_EC_86_8C_EB_B0_A9_EA_B4_80_EA_B3_84_EB_B2_95_EB_A0_B9_28_EC_8A_B9_EC_A7_84_EC_8B_9C_ED_97_98_EA_B4_80_EB_A0_A8_29.pdf,files/소방관계법령(승진시험관련).pdf,False,False
files/_EC_86_8C_EB_B0_A9_EA_B4_80_EA_B3_84_EB_B2_95_EB_A0_B9_28_EC_B6_A9_EB_82_A8_29.pdf,files/소방관계법령(충남).pdf,False,False
files/_EC_9B_90_EC_9E_90_EB_A0_A5_EC_95_88_EC_A0_84_EB_B2_95.pdf,files/원자력안전법.pdf,False,False
files/_EA_B3_B5_EC_9D_B8_EC_A4_91_EA_B0_9C_EC_82_AC__EC_A4_91_EA_B0_9C_EC_82_AC_EB_B2_95_EB_A0_B9_20_EC_8B_A4_EB_AC_B4_20.pdf,files/공인중개사%중개사법령 실무.pdf,False,False
files/_EC_86_8C_EB_B0_A9_EA_B4_80_EB_A0_A8_EB_B2_95_28_ED_8F_90_EC_A7_80__EB_8B_A4_EC_9A_B4_EB_A1_9C_EB_93_9CX_29.pdf,files/소방관련법(폐지%다운로드X).pdf,False,False
files/_EC_9B_90_EC_9E_90_EB_A0_A5_EC_9D_B4_EC_9A_A9_EC_8B_9C_EC_84_A4_ED_95_B4_EC_B2_B4_EC_97_90_20_EA_B4_80_ED_95_9C_20_EB_B2_95_EB_A5_A0_20_EB_B0_8F_20_ED_96_89_EC_A0_95_EA_B7_9C_EC_B9,files/원자력이용시설해체에 관한 법률 및 행정규.pdf,True,True
files/_EC_88_98_EB_8F_84_EA_B6_8C_EB_A7_A4_EB_A6_BD_EC_A7_80_EA_B4_80_EB_A6_AC_EA_B3_B5_EC_82_AC_EC_9D_98_20_EC_84_A4_EB_A6_BD_20_EB_B0_8F_20_EC_9A_B4_EC_98_81_20_EB_93_B1_EC_97_90_20_EA,files/수도권매립지관리공사의 설립 및 운영 등에.pdf,True,True
files/_EB_8F_84_EC_8B_9C_EC_9E_AC_EC_83_9D.pdf,files/도시재생.pdf,False,False
files/_EA_B2_BD_EC_A0_9C_EC_9E_90_EC_9C_A0_EA_B5_AC_EC_97_AD_EC_9D_98_20_EC_A7_80_EC_A0_95_20_EB_B0_8F_20_EC_9A_B4_EC_98_81_EC_97_90_20_EA_B4_80_ED_95_9C_20_ED_8A_B9_EB_B3_84_EB_B2_95.pd,files/경제자유구역의 지정 및 운영에 관한 특별법.pd.pdf,False,True
files/_EC_9A_A9_EC_97_AD_EA_B3_84_EC_95_BD_EB_B2_95_EB_A0_B9_EC_A7_91.pdf,files/용역계약법령집.pdf,False,False
files/_ED_95_9C_EA_B5_AD_EB_A7_88_EC_82_AC_ED_9A_8C_20_EC_9C_A0_EA_B4_80_20_EB_B2_95_EB_A0_B9_EC_A7_91.pdf,files/한국마사회 유관 법령집.pdf,False,False
files/_E5_85_AD_E6_B3_95_E5_85_A8_E6_9B_B8_20_28_EC_9C_A1_EB_B2_95_EC_A0_84_EC_84_9C_29.pdf,files/六法全書 (육법전서).pdf,False,False
files/_EA_B3_B5_EC_9D_B5_EC_82_AC_EC_97_85_EC_9D_84_20_EC_9C_84_ED_95_9C_20_ED_86_A0_EC_A7_80_20_EB_93_B1_EC_9D_98_20_EC_B7_A8_EB_93_9D_20_EB_B0_8F_20_EB_B3_B4_EC_83_81_EC_97_90_20_EA_B4,files/공익사업을 위한 토지 등의 취득 및 보상에.pdf,True,True
files/_EA_B1_B4_EC_B6_95_EB_AC_BC_EA_B4_80_EB_A6_AC_EB_B2_95.pdf,files/건축물관리법.pdf,False,False
files/_EC_9C_84_ED_97_98_EB_AC_BC_EC_95_88_EC_A0_84_EA_B4_80_EB_A6_AC_EB_B2_95.pdf,files/위험물안전관리법.pdf,False,False
