kind	path	issues
content	/data/richard/cohesity-poc/gaia_web_dataset/visited_pages.txt	contains_U+FFFD_x5
content	/data/richard/cohesity-poc/gaia_web_dataset/nhis_stats/files/API오류코드목록.txt	invalid_utf8:invalid start byte@13,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/english_reference/files/a9302a1dcf6266fd.html	invalid_utf8:invalid start byte@8784,not_valid_utf8_or_cp949
content	/data/richard/cohesity-poc/gaia_web_dataset/english_reference/files/datasets-mlc.html	invalid_utf8:invalid start byte@2292,not_valid_utf8_or_cp949
content	/data/richard/cohesity-poc/gaia_web_dataset/english_reference/files/Generative_Social_Science_Studies_in_Age.html	invalid_utf8:invalid start byte@136,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/english_reference/files/xacml-3.0-core-spec-os-en.html	invalid_utf8:invalid start byte@24014,not_valid_utf8_or_cp949
content	/data/richard/cohesity-poc/gaia_web_dataset/mois_data/files/f1f3fec69c92c41b.html	invalid_utf8:unexpected end of data@8182,not_valid_utf8_or_cp949
content	/data/richard/cohesity-poc/gaia_web_dataset/local_gov_data/files/한국전력거래소_신재생연계ESS_설비용량자료.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/local_gov_data/files/한국전력공사_산업용_계약전력_구간별_현황_20251231.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/local_gov_data/files/한국도로교통공단_가해운전자_당사자종별_연령대별_교통사고_통계_2024_.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/local_gov_data/files/대구광역시_빗물펌프장_현황_20260723.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/local_gov_data/files/경찰청_인천광역시경찰청_인천교통신호등신호주기.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/local_gov_data/files/부산도시공간정보시스템_도로상하수도기반시설물_업체정보_20250724.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/local_gov_data/files/인천광역시_계양구_아동보호과위원회현황_20260722.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/local_gov_data/files/인천광역시_계양구_불법주정차_과태료_20260722.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/local_gov_data/files/서울시_오피스텔_데이터정비_현황_수정.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/local_gov_data/files/수도권매립지관리공사_통합반입관리_폐기물반입수수료_260531.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
content	/data/richard/cohesity-poc/gaia_web_dataset/local_gov_data/files/부산광역시_노인복지관_현황_20250101.csv	invalid_utf8:invalid start byte@0,valid_as_cp949_not_utf8
