stock_code,stock_name,marcap
005930,삼성전자,1555110109728000
000660,SK하이닉스,1141036486365000
402340,SK스퀘어,143702682354000
373220,LG에너지솔루션,112788000000000
005380,현대차,112616771300000
034020,두산에너빌리티,81351265542000
012450,한화에어로스페이스,73890353633000
207940,삼성바이오로직스,68510607480000
009150,삼성전기,68120650752000
329180,HD현대중공업,68014873800000
028260,삼성물산,60894452365500
000270,기아,60357849490800
032830,삼성생명,59600000000000
105560,KB금융,59245937299500
006400,삼성SDI,56248699940000
267260,HD현대일렉트릭,50069470515000
010120,LS ELECTRIC,47325000000000
006800,미래에셋증권,46891704544000
055550,신한지주,46183869325300
068270,셀트리온,43211379416700
298040,효성중공업,42864947156000
005490,POSCO홀딩스,40096212662000
042660,한화오션,39895023898800
012330,현대모비스,39241842147500
034730,SK,37701405560000
042700,한미반도체,37600662900000
010130,고려아연,36465076843000
086790,하나금융지주,34433152374000
035420,NAVER,32625348704000
009540,HD한국조선해양,32024834990000
051910,LG화학,29895857260500
000150,두산,28986964650000
015760,한국전력,28920481668850
064350,현대로템,28595280766000
010140,삼성중공업,28028000000000
003670,포스코퓨처엠,25660984470000
066570,LG전자,25231101346300
096770,SK이노베이션,24800043999600
316140,우리금융지주,23930888032000
272210,한화시스템,23085949335800
267250,HD현대,22552525767500
079550,LIG디펜스앤에어로스페이스,21538000000000
000810,삼성화재,21453110776500
017670,SK텔레콤,20512450061500
035720,카카오,20510946068500
033780,KT&G,20114283533000
011200,HMM,19383540283500
138040,메리츠금융지주,18675955666800
000720,현대건설,18228938730500
024110,기업은행,17224398770400
047810,한국항공우주,17214103896200
006260,LS,16567200000000
086280,현대글로비스,16500000000000
071050,한국금융지주,16244126668000
003550,LG,15884823255000
278470,에이피알,15798901410000
011070,LG이노텍,14957611624000
030200,KT,14743268572500
047050,포스코인터내셔널,14707145076800
010950,S-Oil,13735100624000
005940,NH투자증권,13701440988050
259960,크래프톤,13463961744000
016360,삼성증권,13350350000000
047040,대우건설,13231225943600
018260,삼성에스디에스,13154226000000
001440,대한전선,12902153160000
0126Z0,삼성에피스홀딩스,12814770235000
039490,키움증권,12707619102000
307950,현대오토에버,12093976062000
323410,카카오뱅크,11928010925000
443060,HD현대마린솔루션,11679116330000
007660,이수페타시스,11128837600400
352820,하이브,10624704378500
005830,DB손해보험,10611056538000
028050,삼성E&A,10388000000000
000880,한화,9913413411400
062040,산일전기,9781764075000
003230,삼양식품,9747721410000
003490,대한항공,9039817227550
267270,HD건설기계,9004741948600
066970,엘앤에프,8577733137500
377300,카카오페이,8561031731100
009830,한화솔루션,8268030981600
326030,SK바이오팜,7713855125000
090430,아모레퍼시픽,7604058670000
161390,한국타이어앤테크놀로지,7370566605500
180640,한진칼,7323822006300
078930,GS,7145192568200
082740,한화엔진,7051283499000
000990,DB하이텍,7047743256000
000100,유한양행,6993059367800
241560,두산밥캣,6959150319000
052690,한전기술,6956040000000
454910,두산로보틱스,6786651906000
103590,일진전기,6780862458000
